fecha,precio_apertura,precio_cierre,precio_max,precio_min,volumen,tendencia
2023-12-05,104.07,104.74,104.91,103.93,224932,0
2023-12-06,105.52,105.85,106.34,105.46,368083,1
2023-12-07,107.75,107.74,108.62,106.73,1851498,1
2023-12-08,105.48,105.2,106.02,104.42,3977809,0
2023-12-11,104.17,104.55,105.58,103.97,4976709,0
2023-12-12,103.71,103.61,103.74,102.8,1658426,0
2023-12-13,101.92,102.31,102.94,101.51,3330431,0
2023-12-14,105.65,105.97,106.17,105.49,2692316,1
2023-12-15,106.13,106.88,108.21,105.28,389220,1
2023-12-18,103.76,104.24,104.52,101.52,4076765,0
2023-12-19,105.49,106.21,106.92,104.92,1495285,1
2023-12-20,110.23,110.77,112.54,109.65,4776029,1
2023-12-21,113.71,113.11,114.05,111.46,3022705,1
2023-12-22,109.21,109.73,110.81,108.76,2764749,0
2023-12-25,110.15,108.72,111.22,107.53,4099453,0
2023-12-26,111.81,111.53,113.3,111.41,1506978,1
2023-12-27,110.11,110.01,110.48,109.17,3021989,0
2023-12-28,110.56,111.04,111.67,109.14,1084156,1
2023-12-29,113.21,112.82,113.26,111.63,3813543,1
2024-01-01,110.46,110.78,111.28,109.01,963659,0
2024-01-02,110.77,110.71,110.84,110.05,2337035,0
2024-01-03,104.91,103.58,105.36,103.52,1303920,0
2024-01-04,101.47,101.51,102.26,100.16,3208591,0
2024-01-05,101.63,101.05,101.77,100.85,3710954,0
2024-01-08,98.23,98.58,99.7,97.57,847852,0
2024-01-09,101.83,101.85,101.94,100.06,1256618,1
2024-01-10,99.86,98.99,100.58,98.85,4011147,0
2024-01-11,97.86,98.16,98.74,97.76,1207810,0
2024-01-12,99.36,98.47,100.35,98.04,912283,1
2024-01-15,101.72,101.36,102.6,101.32,3014863,1
2024-01-16,98.22,98.5,98.98,96.89,1921367,0
2024-01-17,101.16,100.84,102.04,100.34,3472863,1
2024-01-18,101.4,100.91,101.66,100.75,2999033,1
2024-01-19,99.29,98.98,100.25,98.39,4632669,0
2024-01-22,99.16,99.94,100.06,98.11,1678315,1
2024-01-23,100.03,100.39,102.25,99.54,1449590,1
2024-01-24,99.11,99.24,99.55,99.08,3604438,0
2024-01-25,99.39,99.42,99.58,99.05,4680197,1
2024-01-26,99.01,98.71,99.26,98.16,3145529,0
2024-01-29,99.07,98.98,99.18,97.87,2325541,1
2024-01-30,99.67,100.34,100.46,99.61,2911139,1
2024-01-31,103.77,103.57,104.36,102.33,1569793,1
2024-02-01,101.37,101.06,102.15,100.45,4590512,0
2024-02-02,105.72,105.42,106.38,105.35,2997706,1
2024-02-05,101.91,101.36,102.99,100.18,3301473,0
2024-02-06,101.53,101.1,103.02,100.85,1198657,0
2024-02-07,102.58,102.34,103.0,101.73,1026215,1
2024-02-08,102.93,102.97,103.88,102.67,3133449,1
2024-02-09,100.89,101.74,103.49,99.81,1549991,0
2024-02-12,101.58,101.37,101.9,99.85,2611910,0
2024-02-13,100.52,100.42,102.53,100.33,524528,0
2024-02-14,99.42,99.28,99.42,99.16,2635610,0
2024-02-15,100.38,101.02,101.7,99.84,2815223,1
2024-02-16,101.24,101.79,101.86,101.07,712181,1
2024-02-19,100.96,100.43,101.04,99.83,3745525,0
2024-02-20,102.27,102.29,103.04,102.01,1750824,1
2024-02-21,103.32,102.97,103.56,102.31,239227,1
2024-02-22,104.71,104.7,104.93,103.79,1873055,1
2024-02-23,106.08,106.07,106.36,106.05,792137,1
2024-02-26,104.85,104.36,105.41,102.77,381854,0
2024-02-27,102.98,103.24,104.06,102.93,4974196,0
2024-02-28,104.89,104.84,105.04,104.24,760327,1
2024-02-29,105.93,106.17,106.81,104.64,1757153,1
2024-03-01,105.95,106.18,106.64,104.42,4445398,1
2024-03-04,106.32,106.48,107.25,104.97,1585255,1
2024-03-05,109.38,109.26,109.4,109.02,4256004,1
2024-03-06,107.76,108.02,108.03,107.32,1906684,0
2024-03-07,109.94,109.25,110.9,107.87,1909858,1
2024-03-08,108.38,108.87,109.28,107.6,579083,0
2024-03-11,108.35,108.45,108.47,107.93,1494316,0
2024-03-12,110.64,110.88,111.61,110.51,2001740,1
2024-03-13,113.59,112.77,114.85,111.32,4362627,1
2024-03-14,114.77,114.66,115.29,113.84,4684946,1
2024-03-15,118.32,117.71,118.33,117.46,2395936,1
2024-03-18,116.95,117.82,119.06,116.11,4401400,1
2024-03-19,119.65,119.49,120.67,117.43,4741094,1
2024-03-20,119.33,118.81,119.63,118.12,2807184,0
2024-03-21,119.68,119.64,120.27,119.43,3012066,1
2024-03-22,120.02,119.38,120.2,118.44,3870771,0
2024-03-25,119.37,119.68,119.73,119.24,1640724,1
2024-03-26,122.01,121.16,122.53,121.08,2065730,1
2024-03-27,120.61,119.24,120.68,119.02,4662530,0
2024-03-28,124.06,124.29,124.77,123.42,4420614,1
2024-03-29,121.58,121.85,121.91,121.41,4183290,0
2024-04-01,119.81,118.95,121.71,118.53,775673,0
2024-04-02,122.73,121.76,123.65,120.7,4162224,1
2024-04-03,123.43,123.75,123.9,122.04,1988529,1
2024-04-04,125.1,125.36,126.57,125.0,1194316,1
2024-04-05,126.82,127.0,127.61,126.8,4400915,1
2024-04-08,126.18,127.03,128.59,125.46,1736675,1
2024-04-09,124.24,124.81,126.03,124.01,806673,0
2024-04-10,124.44,125.07,125.28,123.49,901849,1
2024-04-11,122.96,123.43,124.91,122.68,1828665,0
2024-04-12,125.88,125.9,126.05,125.27,1261068,1
2024-04-15,125.74,125.6,126.08,125.23,1135891,0
2024-04-16,124.54,123.59,125.16,122.46,853494,0
2024-04-17,122.24,122.85,123.15,122.13,523177,0
2024-04-18,124.54,123.93,124.93,123.9,742762,1
2024-04-19,122.46,122.59,122.76,122.26,867876,0
2024-04-22,120.61,120.64,120.79,120.49,3804697,0
2024-04-23,121.7,121.29,121.7,119.46,1306184,1
2024-04-24,121.26,121.94,122.37,120.73,1860511,1
2024-04-25,121.0,120.77,122.15,120.68,4684074,0
2024-04-26,119.79,119.69,120.7,119.54,3641815,0
2024-04-29,120.6,120.31,122.03,119.32,146002,1
2024-04-30,117.05,116.88,119.44,115.7,4710146,0
2024-05-01,115.04,113.65,115.9,112.86,815339,0
2024-05-02,111.72,112.07,113.3,110.85,4239289,0
2024-05-03,111.35,111.65,111.85,110.97,1884006,0
2024-05-06,112.05,112.4,113.45,111.47,728889,1
2024-05-07,115.45,115.77,117.44,113.81,2467108,1
2024-05-08,117.44,117.82,118.33,116.32,4689699,1
2024-05-09,118.2,117.5,118.92,116.64,3944886,0
2024-05-10,118.35,117.51,118.89,116.57,1025779,1
2024-05-13,114.89,115.22,117.6,114.27,2629832,0
2024-05-14,114.75,115.23,115.73,113.47,3419151,1
2024-05-15,114.89,114.62,115.25,114.39,325391,0
2024-05-16,115.1,115.42,116.79,114.84,291387,1
2024-05-17,113.93,113.57,114.1,113.33,3732632,0
2024-05-20,114.92,114.81,114.94,114.68,4708474,1
2024-05-21,117.48,118.38,118.93,116.72,2884067,1
2024-05-22,119.1,118.18,119.21,117.43,1474073,0
2024-05-23,120.26,119.19,121.2,117.52,2635394,1
2024-05-24,120.53,120.9,122.05,119.27,4657220,1
2024-05-27,119.75,119.99,120.14,118.16,4472352,0
2024-05-28,120.76,120.58,120.78,119.59,1524663,1
2024-05-29,120.88,120.68,121.78,119.59,2569146,1
2024-05-30,121.37,120.97,121.8,119.92,3391070,1
2024-05-31,120.36,119.16,121.21,118.77,786268,0
2024-06-03,119.17,119.28,119.44,118.12,901955,1
2024-06-04,120.05,120.53,122.18,119.84,1211009,1
2024-06-05,123.23,124.09,125.45,122.93,2113148,1
2024-06-06,126.07,126.53,128.16,125.28,4567223,1
2024-06-07,132.02,132.04,133.59,130.63,1619593,1
2024-06-10,131.25,130.08,131.47,128.63,2544291,0
2024-06-11,132.07,132.41,133.12,131.48,247745,1
2024-06-12,133.12,132.97,134.22,132.74,3892824,1
2024-06-13,138.84,138.86,139.53,136.98,1830992,1
2024-06-14,137.49,136.68,139.5,135.8,237686,0
2024-06-17,136.15,134.45,136.89,133.42,2167636,0
2024-06-18,132.56,132.91,133.43,130.84,4251923,0
2024-06-19,127.02,127.33,129.53,125.76,2083044,0
2024-06-20,126.71,126.05,127.33,125.46,4024221,0
2024-06-21,124.63,124.2,125.37,124.18,3414344,0
2024-06-24,125.79,124.64,126.09,124.36,149976,1
2024-06-25,125.92,125.55,127.23,124.74,2622620,1
2024-06-26,130.09,130.33,131.96,129.65,2463128,1
2024-06-27,133.26,132.87,133.3,132.37,3467611,1
2024-06-28,132.13,131.4,132.93,131.39,4505813,0
2024-07-01,129.64,129.11,130.12,128.54,3742693,0
2024-07-02,130.77,130.44,131.48,130.44,2127320,1
2024-07-03,127.74,127.06,129.8,126.62,1912105,0
2024-07-04,132.55,131.78,132.7,131.67,2047238,1
2024-07-05,135.89,134.96,136.29,134.86,1495796,1
2024-07-08,134.19,133.76,134.39,133.36,4909045,0
2024-07-09,129.13,129.24,130.63,128.87,3661262,0
2024-07-10,132.9,132.81,133.94,131.11,308859,1
2024-07-11,133.37,132.57,134.65,131.97,4127902,0
2024-07-12,135.36,135.92,136.63,135.04,145475,1
2024-07-15,131.89,131.65,133.0,130.92,3403364,0
2024-07-16,129.88,130.14,130.7,129.53,3339254,0
2024-07-17,130.23,130.22,131.47,128.99,1199577,1
2024-07-18,131.24,130.4,131.99,130.02,944081,1
2024-07-19,129.42,129.29,130.45,129.18,4723037,0
2024-07-22,131.0,130.97,131.79,130.5,3795727,1
2024-07-23,127.37,128.24,129.7,125.77,1702970,0
2024-07-24,128.42,127.94,129.96,126.78,1631064,0
2024-07-25,128.72,128.31,129.06,127.08,4511887,1
2024-07-26,131.1,129.69,131.36,129.55,327189,1
2024-07-29,131.4,131.6,133.0,129.58,2176198,1
2024-07-30,128.85,128.71,129.42,126.41,1568919,0
2024-07-31,124.98,124.83,125.44,124.19,3381941,0
2024-08-01,129.09,128.08,131.32,127.56,2750324,1
2024-08-02,128.93,128.99,129.66,127.07,3510580,1
2024-08-05,127.3,127.13,128.25,126.57,3785104,0
2024-08-06,131.53,131.13,131.59,130.31,1520858,1
2024-08-07,131.63,131.5,131.91,130.85,1848982,1
2024-08-08,134.37,134.67,136.32,134.19,1545065,1
2024-08-09,135.05,134.92,135.6,134.41,4996799,1
2024-08-12,141.3,140.55,141.91,138.32,178077,1
2024-08-13,144.81,145.55,146.8,143.94,4609322,1
2024-08-14,145.0,144.9,145.42,143.66,1741232,0
2024-08-15,147.27,147.79,148.78,146.99,4545818,1
2024-08-16,150.66,149.77,151.92,147.28,4195077,1
2024-08-19,152.77,153.94,156.37,151.65,884192,1
2024-08-20,150.63,151.05,153.54,147.58,4730232,0
2024-08-21,153.49,153.2,154.84,152.85,1020114,1
2024-08-22,157.74,156.52,158.02,155.14,701891,1
2024-08-23,151.04,151.09,151.43,148.67,3629921,0
2024-08-26,147.18,147.59,147.95,145.73,2282926,0
2024-08-27,142.98,141.65,143.91,141.08,2585670,0
2024-08-28,139.93,140.95,141.92,139.41,3444250,0
2024-08-29,141.47,143.05,143.71,141.35,3466085,1
2024-08-30,147.74,147.42,147.94,144.3,4706976,1
2024-09-02,147.34,147.71,148.04,145.57,4123278,1
2024-09-03,151.81,152.59,152.9,151.51,637977,1
2024-09-04,148.98,148.46,150.9,147.9,2099014,0
2024-09-05,143.65,143.47,144.21,142.23,3803292,0
2024-09-06,142.98,143.39,144.23,142.87,1658141,0
2024-09-09,143.63,144.56,145.33,143.28,3768280,1
2024-09-10,145.17,144.54,146.53,144.08,2823408,0
2024-09-11,139.08,138.63,139.29,138.33,1948058,0
2024-09-12,138.39,138.46,139.89,138.01,4884808,0
2024-09-13,136.16,134.91,136.59,134.24,2259173,0
2024-09-16,136.05,136.79,137.5,135.65,4754419,1
2024-09-17,136.81,137.86,138.44,136.39,142291,1
2024-09-18,134.87,135.34,135.97,134.84,4722580,0
2024-09-19,133.98,134.01,135.34,132.77,4689058,0
2024-09-20,131.4,131.24,131.42,131.19,4597968,0
2024-09-23,130.98,131.14,131.47,129.13,2222827,0
2024-09-24,133.95,133.71,135.77,132.36,4967951,1
2024-09-25,130.32,131.14,131.4,129.38,2168671,0
2024-09-26,133.49,132.53,136.27,131.84,808672,1
2024-09-27,131.14,131.19,131.78,130.51,437369,0
2024-09-30,129.9,129.18,131.73,127.76,4076974,0
2024-10-01,129.19,128.96,129.96,126.76,3592963,0
2024-10-02,126.65,126.36,127.03,123.19,4607167,0
2024-10-03,125.38,125.02,126.67,123.97,2327039,0
2024-10-04,122.36,122.09,123.02,121.87,396063,0
2024-10-07,127.36,126.95,127.5,126.89,1483875,1
2024-10-08,127.95,127.1,129.2,126.81,1976336,1
2024-10-09,125.51,125.39,125.72,124.86,4056778,0
2024-10-10,126.43,125.99,127.29,125.34,4853267,1
2024-10-11,125.71,125.77,126.35,125.15,2987757,0
2024-10-14,126.17,125.27,126.77,125.18,2568665,0
2024-10-15,126.45,126.87,128.57,126.25,3009984,1
2024-10-16,130.02,128.86,130.43,128.7,792924,1
2024-10-17,127.53,127.56,128.78,127.33,2670115,0
2024-10-18,125.25,126.15,126.6,124.11,1761655,0
2024-10-21,125.6,125.52,126.8,124.92,4772412,0
2024-10-22,119.4,119.8,120.39,116.59,3200498,0
2024-10-23,116.72,116.23,116.85,115.62,4889125,0
2024-10-24,119.08,119.47,119.48,118.89,4770432,1
2024-10-25,123.18,123.46,124.24,123.17,1123920,1
2024-10-28,121.75,122.91,123.54,121.37,3911666,0
2024-10-29,124.1,124.39,124.51,122.99,3919712,1
2024-10-30,123.7,125.22,125.64,122.77,1133668,1
2024-10-31,131.94,133.0,133.94,131.13,2573199,1
2024-11-01,136.56,136.04,137.04,135.6,397675,1
2024-11-04,136.29,135.76,137.08,134.7,808175,0
2024-11-05,133.52,133.23,133.92,131.76,3775002,0
2024-11-06,128.4,129.02,130.8,127.75,1967306,0
